,size,acc
0,50000,0.5203252032520326
1,50000,0.5769230769230769
2,50000,0.5851851851851851
3,50000,0.5503875968992248
4,50000,0.5736434108527132
5,50000,0.5185185185185185
6,50000,0.6324786324786325
7,50000,0.5151515151515151
8,50000,0.5777777777777777
9,50000,0.5891472868217055
10,50000,0.4921875
11,50000,0.6014492753623188
12,50000,0.5413533834586466
13,50000,0.568
14,50000,0.5507246376811594
15,50000,0.4883720930232558
16,50000,0.5158730158730159
17,50000,0.5877862595419847
18,50000,0.5074626865671642
19,50000,0.5801526717557252
20,100000,0.54
21,100000,0.5719557195571956
22,100000,0.5725190839694656
23,100000,0.6082089552238806
24,100000,0.5919117647058824
25,100000,0.5850622406639004
26,100000,0.623015873015873
27,100000,0.58203125
28,100000,0.55893536121673
29,100000,0.5529411764705883
30,100000,0.5667870036101083
31,100000,0.49809885931558934
32,100000,0.5823293172690763
33,100000,0.5444015444015444
34,100000,0.5811320754716981
35,100000,0.5708661417322834
36,100000,0.6305970149253731
37,100000,0.6127819548872181
38,100000,0.584
39,100000,0.5697674418604651
40,150000,0.5894206549118388
41,150000,0.5733333333333334
42,150000,0.5549872122762148
43,150000,0.6070528967254408
44,150000,0.517948717948718
45,150000,0.5826771653543307
46,150000,0.6020671834625323
47,150000,0.575197889182058
48,150000,0.6354166666666666
49,150000,0.5813953488372093
50,150000,0.6066838046272494
51,150000,0.566579634464752
52,150000,0.5857142857142857
53,150000,0.625974025974026
54,150000,0.5954198473282443
55,150000,0.5648854961832062
56,150000,0.5853018372703412
57,150000,0.5468354430379747
58,150000,0.5488721804511278
59,150000,0.6236842105263158
60,200000,0.5578747628083491
61,200000,0.5887850467289719
62,200000,0.5802707930367504
63,200000,0.615686274509804
64,200000,0.59765625
65,200000,0.5697896749521989
66,200000,0.5833333333333334
67,200000,0.6122840690978887
68,200000,0.5883495145631068
69,200000,0.5942857142857143
70,200000,0.6271844660194175
71,200000,0.592079207920792
72,200000,0.573055028462998
73,200000,0.5819209039548022
74,200000,0.5796545105566219
75,200000,0.5890151515151515
76,200000,0.583969465648855
77,200000,0.5673624288425048
78,200000,0.5755102040816327
79,200000,0.6205533596837944
80,250000,0.556923076923077
81,250000,0.5833333333333334
82,250000,0.6021840873634945
83,250000,0.5963020030816641
84,250000,0.5824508320726173
85,250000,0.5829528158295282
86,250000,0.5936507936507937
87,250000,0.5867895545314901
88,250000,0.6111111111111112
89,250000,0.6242331288343558
90,250000,0.5793413173652695
91,250000,0.588597842835131
92,250000,0.6086956521739131
93,250000,0.5352760736196319
94,250000,0.6029411764705882
95,250000,0.6012084592145015
96,250000,0.5880597014925373
97,250000,0.5895865237366003
98,250000,0.6438569206842923
99,250000,0.5725429017160687
100,300000,0.5935897435897436
101,300000,0.5935064935064935
102,300000,0.5870646766169154
103,300000,0.6017699115044248
104,300000,0.6036269430051814
105,300000,0.5902255639097744
106,300000,0.6527415143603134
107,300000,0.5937106918238994
108,300000,0.5768757687576875
109,300000,0.5714285714285714
110,300000,0.5966494845360825
111,300000,0.6002587322121604
112,300000,0.6028645833333334
113,300000,0.6346153846153846
114,300000,0.5768229166666666
115,300000,0.6020942408376964
116,300000,0.6106870229007634
117,300000,0.6118836915297092
118,300000,0.5806451612903226
119,300000,0.6031537450722734
120,350000,0.6325431034482759
121,350000,0.6088840736728061
122,350000,0.6088362068965517
123,350000,0.6164994425863991
124,350000,0.584061135371179
125,350000,0.6290322580645161
126,350000,0.6046511627906976
127,350000,0.6149674620390455
128,350000,0.591991341991342
129,350000,0.6186348862405201
130,350000,0.6032967032967033
131,350000,0.5970654627539503
132,350000,0.5917030567685589
133,350000,0.5997770345596433
134,350000,0.6272123893805309
135,350000,0.5852842809364549
136,350000,0.6091205211726385
137,350000,0.6033333333333334
138,350000,0.6193619361936193
139,350000,0.5995599559955995
140,400000,0.6347826086956522
141,400000,0.6361031518624641
142,400000,0.6158940397350994
143,400000,0.6062917063870352
144,400000,0.6254716981132076
145,400000,0.6124401913875598
146,400000,0.6213408876298395
147,400000,0.6304558680892337
148,400000,0.6197718631178707
149,400000,0.5818181818181818
150,400000,0.5964083175803403
151,400000,0.6170825335892515
152,400000,0.6145038167938931
153,400000,0.603629417382999
154,400000,0.6175071360608944
155,400000,0.5938989513822688
156,400000,0.5957651588065448
157,400000,0.6125603864734299
158,400000,0.6094339622641509
159,400000,0.6157495256166983
160,450000,0.5962199312714777
161,450000,0.6268023748939779
162,450000,0.6271186440677966
163,450000,0.6185567010309279
164,450000,0.6208930075821398
165,450000,0.6080273270708796
166,450000,0.6244616709732989
167,450000,0.6211340206185567
168,450000,0.6027164685908319
169,450000,0.6347305389221557
170,450000,0.5966244725738397
171,450000,0.6096718480138169
172,450000,0.6003386960203217
173,450000,0.6263736263736264
174,450000,0.6289782244556114
175,450000,0.6015358361774744
176,450000,0.6201550387596899
177,450000,0.6
178,450000,0.6141114982578397
179,450000,0.608843537414966
180,500000,0.6136712749615976
